,English,Russian
2746,tourist,турист
2747,tournament,турнир
2748,toward,к
2749,towards,к
2750,tower,башня
2751,town,город
2752,toy,игрушка
2753,trace,след
2754,track,отслеживать
2755,trade,торговля
2756,tradition,традиция
2757,traditional,традиционный
2758,traffic,трафик
2759,tragedy,трагедия
2760,trail,тащить
2761,train,тренироваться
2762,training,повышение квалификации
2763,transfer,передача
2764,transform,преобразование
2765,transformation,преобразование
2766,transition,переход
2767,translate,переводить
2768,transportation,транспорт
2769,travel,путешествовать
2770,treat,обращаться
2771,treatment,лечение
2772,treaty,договор
2773,tree,дерево
2774,tremendous,огромный
2775,trend,тренд
2776,trial,пробный
2777,tribe,племя
2778,trick,обманывать
2779,trip,путешествие
2780,troop,отряд
2781,trouble,беда
2782,truck,грузовик
2783,TRUE,ИСТИННЫЙ
2784,truly,действительно
2785,trust,доверять
2786,truth,правда
2787,try,пытаться
2788,tube,трубка
2789,tunnel,туннель
2790,turn,перемена
2791,TV,телевидение
2792,twelve,двенадцать
2793,twenty,20
2794,twice,дважды
2795,twin,близнец
2796,two,два
2797,type,тип
2798,typical,типичный
2799,typically,типично
2800,ugly,уродливый
2801,ultimate,окончательный
2802,ultimately,в конечном счете
2803,unable,неспособный
2804,uncle,дядя
2805,under,под
2806,undergo,подвергаться
2807,understand,понимать
2808,understanding,понимание
2809,unfortunately,К сожалению
2810,uniform,униформа
2811,union,союз
2812,unique,уникальный
2813,unit,единица измерения
2814,United,United.
2815,universal,универсальный
2816,universe,вселенная
2817,university,Университет
2818,unknown,неизвестный
2819,unless,пока не
2820,unlike,В отличие от
2821,unlikely,навряд ли
2822,until,до
2823,unusual,необычный
2824,up,вверх
2825,upon,на
2826,upper,верх
2827,urban,городской
2828,urge,побуждать
2829,us,нас
2830,use,использовать
2831,used,использовал
2832,useful,полезный
2833,user,Пользователь
2834,usual,обычный
2835,usually,как правило
2836,utility,полезность
2837,vacation,отпуск
2838,valley,Долина
2839,valuable,ценный
2840,value,стоимость
2841,variable,Переменная
2842,variation,вариация
2843,variety,разнообразие
2844,various,различный
2845,vary,отличаться
2846,vast,огромный
2847,vegetable,овощ
2848,vehicle,транспортное средство
2849,venture,риск
2850,version,версия
2851,versus,против
2852,very,очень
2853,vessel,судно
2854,veteran,ветеран
2855,via,через
2856,victim,жертва
2857,victory,победа
2858,video,видео
2859,view,Посмотреть
2860,viewer,просмотрщик
2861,village,деревня
2862,violate,нарушать
2863,violation,нарушение
2864,violence,насилие
2865,violent,жестокий
2866,virtually,практически
2867,virtue,добродетель
2868,virus,вирус
2869,visible,видимый
2870,vision,зрение
2871,visit,посещение
2872,visitor,посетитель
2873,visual,визуальный
2874,vital,жизненно важный
2875,voice,голос
2876,volume,объем
2877,volunteer,волонтер
2878,vote,голосование
2879,voter,избирательный
2880,vs,против
2881,vulnerable,уязвимый
2882,wage,заработная плата
2883,wait,ждать
2884,wake,будить
2885,walk,ходить
2886,wall,стена
2887,wander,бродить
2888,want,хочу
2889,war,война
2890,warm,теплый
2891,warn,предупреждать
2892,warning,предупреждение
2893,wash,стирать
2894,waste,напрасно тратить
2895,watch,смотреть
2896,water,вода
2897,wave,волна
2898,way,способ
2899,we,мы
2900,weak,слабый
2901,wealth,богатство
2902,wealthy,богатый
2903,weapon,оружие
2904,wear,носить
2905,weather,Погода
2906,wedding,свадьба
2907,week,неделю
2908,weekend,выходные дни
2909,weekly,недельно
2910,weigh,весить
2911,weight,масса
2912,welcome,Добро пожаловать
2913,welfare,благосостояние
2914,well,хорошо
2915,west,Запад
2916,western,западный
2917,wet,влажный
2918,what,какие
2919,whatever,что бы ни
2920,wheel,рулевое колесо
2921,when,когда
2922,whenever,в любое время
2923,where,куда
2924,whereas,в то время как
2925,whether,будь то
2926,which,который
2927,while,пока
2928,whisper,шепот
2929,white,белый
2930,who,ВОЗ
2931,whole,все
2932,whom,кого
2933,whose,чья
2934,why,Зачем
2935,wide,широкий
2936,widely,широко
2937,widespread,широко распространен
2938,wife,жена
2939,wild,дикий
2940,will,буду
2941,willing,готовый
2942,win,победить
2943,wind,ветер
2944,window,окно
2945,wine,вино
2946,wing,крыло
2947,winner,победитель
2948,winter,зима
2949,wipe,вытирать
2950,wire,провод
2951,wisdom,мудрость
2952,wise,Мудрый
2953,wish,желание
2954,with,с участием
2955,withdraw,снять со счета
2956,within,в пределах
2957,without,без
2958,witness,свидетель
2959,woman,женщина
2960,wonder,задаваться вопросом
2961,wonderful,замечательный
2962,wood,древесина
2963,wooden,деревянный
2964,word,слово
2965,work,работай
2966,worker,работник
2967,working,работающий
2968,works,работает
2969,workshop,мастерская
2970,world,Мир
2971,worried,волновался
2972,worry,волноваться
2973,worth,стоимость
2974,would,было бы
2975,wound,ранить
2976,wrap,сворачивать
2977,write,записывать
2978,writer,писатель
2979,writing,пишу
2980,wrong,неправильно
2981,yard,площадка
2982,yeah,Да
2983,year,год
2984,yell,кричать
2985,yellow,желтый
2986,yes,да
2987,yesterday,вчера
2988,yet,все же
2989,yield,урожай
2990,you,ты
2991,young,молодой
2992,your,твой
2993,yours,ваша
2994,yourself,сами
2995,youth,молодежь
2996,zone,зона
